2023-06-17 06:05:48 configure ssl-cert:all 1.1.0+nmu1 <none>
2023-06-17 06:05:48 status unpacked ssl-cert:all 1.1.0+nmu1
2023-06-17 06:05:48 status half-configured ssl-cert:all 1.1.0+nmu1
2023-06-17 06:05:48 status installed ssl-cert:all 1.1.0+nmu1
2023-06-17 06:05:48 configure liblua5.3-0:amd64 5.3.3-1.1+b1 <none>
2023-06-17 06:05:48 status unpacked liblua5.3-0:amd64 5.3.3-1.1+b1
2023-06-17 06:05:48 status half-configured liblua5.3-0:amd64 5.3.3-1.1+b1
2023-06-17 06:05:48 status installed liblua5.3-0:amd64 5.3.3-1.1+b1
2023-06-17 06:05:48 configure apache2-data:all 2.4.56-1~deb11u2 <none>
2023-06-17 06:05:48 status unpacked apache2-data:all 2.4.56-1~deb11u2
2023-06-17 06:05:48 status half-configured apache2-data:all 2.4.56-1~deb11u2
2023-06-17 06:05:48 status installed apache2-data:all 2.4.56-1~deb11u2
2023-06-17 06:05:48 configure mailcap:all 3.69 <none>
2023-06-17 06:05:48 status unpacked mailcap:all 3.69
2023-06-17 06:05:48 status half-configured mailcap:all 3.69
2023-06-17 06:05:48 status installed mailcap:all 3.69
2023-06-17 06:05:48 configure libaprutil1:amd64 1.6.1-5+deb11u1 <none>
2023-06-17 06:05:48 status unpacked libaprutil1:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 status half-configured libaprutil1:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 status installed libaprutil1:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 configure mime-support:all 3.66 <none>
2023-06-17 06:05:48 status unpacked mime-support:all 3.66
2023-06-17 06:05:48 status half-configured mime-support:all 3.66
2023-06-17 06:05:48 status installed mime-support:all 3.66
2023-06-17 06:05:48 configure libaprutil1-ldap:amd64 1.6.1-5+deb11u1 <none>
2023-06-17 06:05:48 status unpacked libaprutil1-ldap:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 status half-configured libaprutil1-ldap:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 status installed libaprutil1-ldap:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 configure libaprutil1-dbd-sqlite3:amd64 1.6.1-5+deb11u1 <none>
2023-06-17 06:05:48 status unpacked libaprutil1-dbd-sqlite3:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 status half-configured libaprutil1-dbd-sqlite3:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 status installed libaprutil1-dbd-sqlite3:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 configure apache2-utils:amd64 2.4.56-1~deb11u2 <none>
2023-06-17 06:05:48 status unpacked apache2-utils:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 status half-configured apache2-utils:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 status installed apache2-utils:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 configure apache2-bin:amd64 2.4.56-1~deb11u2 <none>
2023-06-17 06:05:48 status unpacked apache2-bin:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 status half-configured apache2-bin:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 status installed apache2-bin:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 configure apache2:amd64 2.4.56-1~deb11u2 <none>
2023-06-17 06:05:48 status unpacked apache2:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 status half-configured apache2:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:51 status installed apache2:amd64 2.4.56-1~deb11u2
